-1,1,0,
-0.777778,1,0,
-0.555556,1,0,
-0.333333,1,0,
-0.111111,1,0,
0.111111,1,0,
0.333333,1,0,
0.555556,1,0,
0.777778,1,0,
1,1,0,
-0.888889,0.888889,-0.0285068,
-0.666667,0.888889,-0.0721817,
-0.444444,0.888889,-0.082082,
-0.222222,0.888889,-0.0535752,
0,0.888889,0,
0.222222,0.888889,0.0535752,
0.444444,0.888889,0.082082,
0.666667,0.888889,0.0721817,
0.888889,0.888889,0.0285068,
-1,0.777778,0,
-0.777778,0.777778,-0.525669,
-0.555556,0.777778,-0.805371,
-0.333333,0.777778,-0.708231,
-0.111111,0.777778,-0.279702,
0.111111,0.777778,0.279703,
0.333333,0.777778,0.708231,
0.555556,0.777778,0.805371,
0.777778,0.777778,0.525669,
1,0.777778,0,
-0.888889,0.666667,-0.258034,
-0.666667,0.666667,-0.653364,
-0.444444,0.666667,-0.742978,
-0.222222,0.666667,-0.484944,
0,0.666667,1.85864e-08,
0.222222,0.666667,0.484945,
0.444444,0.666667,0.742978,
0.666667,0.666667,0.653364,
0.888889,0.666667,0.258034,
-1,0.555556,0,
-0.777778,0.555556,-0.66551,
-0.555556,0.555556,-1.01962,
-0.333333,0.555556,-0.896639,
-0.111111,0.555556,-0.354111,
0.111111,0.555556,0.354111,
0.333333,0.555556,0.89664,
0.555556,0.555556,1.01962,
0.777778,0.555556,0.66551,
1,0.555556,0,
-0.888889,0.444444,-0.503227,
-0.666667,0.444444,-1.27422,
-0.444444,0.444444,-1.44899,
-0.222222,0.444444,-0.945758,
0,0.444444,6.90272e-08,
0.222222,0.444444,0.945758,
0.444444,0.444444,1.44899,
0.666667,0.444444,1.27422,
0.888889,0.444444,0.503227,
-1,0.333333,0,
-0.777778,0.333333,-0.424908,
-0.555556,0.333333,-0.650997,
-0.333333,0.333333,-0.572477,
-0.111111,0.333333,-0.226089,
0.111111,0.333333,0.226089,
0.333333,0.333333,0.572478,
0.555556,0.333333,0.650998,
0.777778,0.333333,0.424908,
1,0.333333,0,
-0.888889,0.222222,-0.439096,
-0.666667,0.222222,-1.11183,
-0.444444,0.222222,-1.26433,
-0.222222,0.222222,-0.825231,
0,0.222222,1.05064e-07,
0.222222,0.222222,0.825231,
0.444444,0.222222,1.26433,
0.666667,0.222222,1.11183,
0.888889,0.222222,0.439096,
-1,0.111111,0,
-0.777778,0.111111,0.0493255,
-0.555556,0.111111,0.075571,
-0.333333,0.111111,0.0664561,
-0.111111,0.111111,0.0262456,
0.111111,0.111111,-0.0262454,
0.333333,0.111111,-0.0664559,
0.555556,0.111111,-0.0755709,
0.777778,0.111111,-0.0493255,
1,0.111111,0,
-0.888889,0,-0.132789,
-0.666667,0,-0.336233,
-0.444444,0,-0.38235,
-0.222222,0,-0.249561,
0,0,1.40508e-07,
0.222222,0,0.249561,
0.444444,0,0.38235,
0.666667,0,0.336233,
0.888889,0,0.132789,
-1,-0.111111,0,
-0.777778,-0.111111,0.519508,
-0.555556,-0.111111,0.795933,
-0.333333,-0.111111,0.699932,
-0.111111,-0.111111,0.276425,
0.111111,-0.111111,-0.276425,
0.333333,-0.111111,-0.699932,
0.555556,-0.111111,-0.795933,
0.777778,-0.111111,-0.519508,
1,-0.111111,0,
-0.888889,-0.222222,0.254688,
-0.666667,-0.222222,0.644894,
-0.444444,-0.222222,0.733346,
-0.222222,-0.222222,0.478658,
0,-0.222222,1.60396e-07,
0.222222,-0.222222,-0.478657,
0.444444,-0.222222,-0.733346,
0.666667,-0.222222,-0.644894,
0.888889,-0.222222,-0.254688,
-1,-0.333333,0,
-0.777778,-0.333333,0.759936,
-0.555556,-0.333333,1.16429,
-0.333333,-0.333333,1.02386,
-0.111111,-0.333333,0.404354,
0.111111,-0.333333,-0.404354,
0.333333,-0.333333,-1.02386,
0.555556,-0.333333,-1.16429,
0.777778,-0.333333,-0.759936,
1,-0.333333,0,
-0.888889,-0.444444,0.534434,
-0.666667,-0.444444,1.35323,
-0.444444,-0.444444,1.53884,
-0.222222,-0.444444,1.00441,
0,-0.444444,1.52669e-07,
0.222222,-0.444444,-1.00441,
0.444444,-0.444444,-1.53884,
0.666667,-0.444444,-1.35323,
0.888889,-0.444444,-0.534434,
-1,-0.555556,0,
-0.777778,-0.555556,0.659473,
-0.555556,-0.555556,1.01037,
-0.333333,-0.555556,0.888505,
-0.111111,-0.555556,0.350898,
0.111111,-0.555556,-0.350898,
0.333333,-0.555556,-0.888505,
0.555556,-0.555556,-1.01037,
0.777778,-0.555556,-0.659473,
1,-0.555556,0,
-0.888889,-0.666667,0.574019,
-0.666667,-0.666667,1.45347,
-0.444444,-0.666667,1.65282,
-0.222222,-0.666667,1.0788,
0,-0.666667,9.33796e-08,
0.222222,-0.666667,-1.0788,
0.444444,-0.666667,-1.65282,
0.666667,-0.666667,-1.45347,
0.888889,-0.666667,-0.574018,
-1,-0.777778,0,
-0.777778,-0.777778,0.274273,
-0.555556,-0.777778,0.420211,
-0.333333,-0.777778,0.369527,
-0.111111,-0.777778,0.145938,
0.111111,-0.777778,-0.145938,
0.333333,-0.777778,-0.369527,
0.555556,-0.777778,-0.420211,
0.777778,-0.777778,-0.274273,
1,-0.777778,0,
-0.888889,-0.888889,0.358636,
-0.666667,-0.888889,0.908098,
-0.444444,-0.888889,1.03265,
-0.222222,-0.888889,0.674015,
0,-0.888889,2.74264e-08,
0.222222,-0.888889,-0.674015,
0.444444,-0.888889,-1.03265,
0.666667,-0.888889,-0.908098,
0.888889,-0.888889,-0.358636,
-1,-1,0,
-0.777778,-1,0,
-0.555556,-1,0,
-0.333333,-1,0,
-0.111111,-1,0,
0.111111,-1,0,
0.333333,-1,0,
0.555556,-1,0,
0.777778,-1,0,
1,-1,0,
